80	Robert Bárány	Robert Bárány	1876	1936	http://nobelprize.org/medicine/laureates/1914/barany.jpg	http://nobelprize.org/medicine/laureates/1914/barany-bio.html		http://nobelprize.org/medicine/laureates/1914/barany-lecture.html
81	Max von Laue	Max von Laue	1879	1960	http://nobelprize.org/physics/laureates/1914/laue.jpg	http://nobelprize.org/physics/laureates/1914/laue-bio.html		http://nobelprize.org/physics/laureates/1914/laue-lecture.html
82	Richard Willstätter	Richard Martin Willstätter	1872	1942	http://nobelprize.org/chemistry/laureates/1915/willstatter.jpg	http://nobelprize.org/chemistry/laureates/1915/willstatter-bio.html		http://nobelprize.org/chemistry/laureates/1915/willstatter-lecture.html
83	Romain Rolland	Romain Rolland	1866	1944	http://nobelprize.org/literature/laureates/1915/rolland.jpg			
84	William Bragg	Sir William Henry Bragg	1862	1942	http://nobelprize.org/physics/laureates/1915/wh-bragg.jpg	http://nobelprize.org/physics/laureates/1915/wh-bragg-bio.html		
85	Lawrence Bragg	William Lawrence Bragg	1890	1971	http://nobelprize.org/physics/laureates/1915/wl-bragg.jpg	http://nobelprize.org/physics/laureates/1915/wl-bragg-bio.html		http://nobelprize.org/physics/laureates/1915/wl-bragg-lecture.html
86	Verner von Heidenstam	Carl Gustaf Verner von Heidenstam	1859	1940	http://nobelprize.org/literature/laureates/1916/heidenstam.jpg			
87	Karl Gjellerup	Karl Adolph Gjellerup	1857	1919	http://nobelprize.org/literature/laureates/1917/gjellerup.jpg	http://nobelprize.org/literature/laureates/1917/gjellerup-autobio.html		
88	Henrik Pontoppidan	Henrik Pontoppidan	1857	1943	http://nobelprize.org/literature/laureates/1917/pontoppidan.jpg	http://nobelprize.org/literature/laureates/1917/pontoppidan-autobio.html		
89	International Committee of the Red Cross	Comité international de la Croix Rouge (International Committee of the Red Cross)			http://nobelprize.org/peace/laureates/1963/red-cross.jpg		http://nobelprize.org/peace/laureates/1963/red-cross-history.html	http://nobelprize.org/peace/laureates/1963/red-cross-lecture.html
90	Charles Glover Barkla	Charles Glover Barkla	1877	1944	http://nobelprize.org/physics/laureates/1917/barkla.jpg	http://nobelprize.org/physics/laureates/1917/barkla-bio.html		http://nobelprize.org/physics/laureates/1917/barkla-lecture.html
91	Fritz Haber	Fritz Haber	1868	1934	http://nobelprize.org/chemistry/laureates/1918/haber.jpg	http://nobelprize.org/chemistry/laureates/1918/haber-bio.html		http://nobelprize.org/chemistry/laureates/1918/haber-lecture.html
92	Max Planck	Max Karl Ernst Ludwig Planck	1858	1947	http://nobelprize.org/physics/laureates/1918/planck.jpg	http://nobelprize.org/physics/laureates/1918/planck-bio.html		http://nobelprize.org/physics/laureates/1918/planck-lecture.html
93	Carl Spitteler	Carl Friedrich Georg Spitteler	1845	1924	http://nobelprize.org/literature/laureates/1919/spitteler.jpg	http://nobelprize.org/literature/laureates/1919/spitteler-autobio.html		
94	Jules Bordet	Jules Bordet	1870	1961	http://nobelprize.org/medicine/laureates/1919/bordet.jpg	http://nobelprize.org/medicine/laureates/1919/bordet-bio.html		
95	Woodrow Wilson	Thomas Woodrow Wilson	1856	1924	http://nobelprize.org/peace/laureates/1919/wilson.jpg	http://nobelprize.org/peace/laureates/1919/wilson-bio.html		
96	Johannes Stark	Johannes Stark	1874	1957	http://nobelprize.org/physics/laureates/1919/stark.jpg	http://nobelprize.org/physics/laureates/1919/stark-bio.html		http://nobelprize.org/physics/laureates/1919/stark-lecture.html
97	Walther Nernst	Walther Hermann Nernst	1864	1941	http://nobelprize.org/chemistry/laureates/1920/nernst.jpg	http://nobelprize.org/chemistry/laureates/1920/nernst-bio.html		http://nobelprize.org/chemistry/laureates/1920/nernst-lecture.html
98	Knut Hamsun	Knut Pedersen Hamsun	1859	1952	http://nobelprize.org/literature/laureates/1920/hamsun.jpg	http://nobelprize.org/literature/laureates/1920/hamsun-bio.html		
99	August Krogh	Schack August Steenberg Krogh	1874	1949	http://nobelprize.org/medicine/laureates/1920/krogh.jpg	http://nobelprize.org/medicine/laureates/1920/krogh-bio.html		http://nobelprize.org/medicine/laureates/1920/krogh-lecture.html
100	Léon Bourgeois	Léon Victor Auguste Bourgeois	1851	1925	http://nobelprize.org/peace/laureates/1920/bourgeois.jpg	http://nobelprize.org/peace/laureates/1920/bourgeois-bio.html		http://nobelprize.org/peace/laureates/1920/bourgeois-lecture.html
